review,sentiment
written brilliant monkees tv writer gerald gardner dee caruso way front last jerry lewis movie hardly working almost decade later jerry comedy evidently acquired taste admittedly occasionally worst enemy helm producer director even dreariest film always moment brilliance br br way manages amusing entertaining yes quite funny somewhat unlike typical lewis film pace upbeat ther lot excellent supporting player kind jerry hogan hero whole thing look kind like unsold tv pilot either love hate hopefully vill laugh,1
way lamberto bava substandard facsimilie father mario extremely overrated director anyway michele soavi substandard director dario argento mold church least one thing recommend incredibly detailed art direction absolutely nothing else film long winded filled one dimensional character almost put sleep several time fine line art pretentious crap church completely worthless better watching something else br br,0
like mel brook comedy men tights hilarious seeing outrageous comedy think many fail realize reason movie funny character acted well elwes well spoken former british noble lewis eternally annoyed king hope worth nooooooiiiise deluise fantastic godfather roger rees worried cynical sheriff actor actress loyal part joke flow forth ease yes seen kind comedy comedy achieve better character development opinion big lebowski funny,1
never seen movie annoyed much movie stupid people stupid terrible thing funny movie must say plot line awful patience watch saw half enough character inspired terribly annoying movie goofy guy trying hook tyrannous bos daughter finally manages talk asks go night home watch father owl think invited go party home pm get disappointed finding take care owl boyfriend father leaf home leaving precise order taking care house beloved bird appears secretary renegaded son sort funny stuff happens house finally hook bos daughter trust movie terrible,0
movie worst movie seen since date movie laughing whole movie instead scared funny snake would search particular section passenger body attack example eye tongue butt breast seen national geographic channel know snake wont stay clinched body bite particular scene snake would bite passenger would stay body biting person believe producer study information snake behavior cant believe wasted money movie recommend movie trust wait dollar theatre rent,0
completely forgotten midnight madness found surfing imdb coming back br br one naughton first movie well fox sharp eyed connoisseur also pick kaplan henry tv alice fiedler voice piglet winnie pooh cartoon blocker son dan hoss blocker tv bonanza br br two stand mind furst animal house superdude eddie deezen furst play baddie time one best scene asks dad accept dad look obese slovenly frame give simple one word response yuck br br deezen well show latter day jerry lewis stumble around wade mini golf pond put melon half ear end maggie roswell fall hero br br film typical early stupidity college kid staying curfew going city wide scavenger hunt prove division student best campus jock nerd rich kid feminist group made little br br win care lot fun watching disney picture first foray pg territory creating touchstone picture br br seven star catch midnight madness way br br long live leon,1
film excuse show people dancing good even dancing slow half entertaining mediocre dirty dancing let alone good dance movie br br love story musical drama comedy movie bit movie fails everything attempt film turn even meaningless film progress br br acting terrible side screenplay definitely trying tell u something relationship fails miserably br br watch moment patrick stewart enters scene think film might get better brightens dull atmosphere second,0
enjoyed previous ittenbach movie seen burning moon movie rather grim nasty premutos seems mostly play laugh admirable ittenbach made movie money spare time dvd documentary worthwhile see found constantly battling fast forward next gore scene sure gore want go ahead enjoy warned inordinate amount lame comedy tedious story exposition many comparing peter jackson movie especially braindead looking jackson similar budget bad taste clear ittenbach lacking one thing jackson talent pretty good plentiful gore effect getting limited resource worth money paid,0
widely unknown strange little western mindblowing colour probably material used johnny guitar guess trucolor something make blood drip look like shining ruby nearly surrealistic scene twisted action character something different far masterpiece paid attention little gem western encyclopedia,1
connery could bring particular style line like fatima crash bond arm water ski super agent nassau apologizes oh reckless made wet super agent reply yes martini still dry br br barbara carrera make great villain stealing show spectre executioner fatima blush fatima number spectre chain command gorgeous assassin take intense sensation pleasure killing br br fatima assumes deadly characteristic fiona proving one bond toughest adversary victim vanity good want world know vanity downfall using every possible approach eliminate fatima wild cunning woman make love man kill br br austrian actor klaus maría brandauer largo make formidable opponent referred number one spectre chain command largo resides bahamas travel aboard super yacht flying saucer br br max von sydow becomes fourth actor appear spectre chief ernst stavro blofeld plotting put world ransom br br kim basinger take part owned lovely french actress claudine auger domino mistress largo soon fall deeply love rescuer br br black actor bernie casey becomes sixth actor play cia agent felix leiter jack lord cec linder rik van nutter norman burton david hedison br br edward fox portrays new unsympathetic pamela salem third actress play miss moneypenny lois maxwell first barbara bouchet second br br valerie leon sexy lady bahamas fished blue water saved life making love room valerie sardinian hotel receptionist spy loved bond anya arrive seeking stromberg br br prunella gee shrublands physical therapist patricia saskia cohen tanugi nicole bond secret service contact south france br br gavan herlihy jack petachi u air force communication officer duplicate president united state eye print arm two cruise missile nuclear warhead br br rowan atkinson bumbling foreign officer nigel small fawcett alec mccowen algernon armorer provides formidable item br br like see connery playing tense battle will disguised masseur attacked robot controlled shark giving away considerable amount money tango dance thrown medieval dungeon miss second two unofficial james bond film,1
day ridley scott one top director producer command huge sum helm movie especially since film like alien gladiator blade runner credit partial list credit obvious amazing talent however watch early effort made film school probably hard time telling destined greatness although nice camera work style film hopelessly dull uninvolving however considering meant general release training ground disposed looking charitably hence score br br way film part cinema european short dvd dvd short great though contains man without head copy shop rabbit wasp amazing dvd lover short film well worth buying,0
one horror movie based tv show get right friday th series connection movie poltergeist legacy sure may loosely connected movie feel like throw famous title show fan watch br br show freddy burned elm street parent st episode believe amount parent disappointing kid targeted st movie expect parent oh well br br freddy basically narrator show watch action people real world sometimes getting involved somehow like anthology show like tale crypt supernatural surprise ending twist involved br br acting lack believe violence sometimes surpasses movie show lasted couple season made around time th movie heard canceled due protesting parent watched lot r rated stuff kid shame parent ruin everyone movie came series total loss,1
